id,title,brand,image_link,link,price_pc,category_name1,category_name2
11390741894,닌자 블렌더 믹서기 디텍트파워 프로 TB201KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EB%B8%94%EB%A0%8C%EB%8D%94%20%EB%AF%B9%EC%84%9C%EA%B8%B0%20%EB%94%94%ED%85%8D%ED%8A%B8%ED%8C%8C%EC%9B%8C%20%ED%94%84%EB%A1%9C%20TB201KR.jpg,https://brand.naver.com/sharkninja/products/11390741894?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260529_m_da_bba_ct_pd_tb_p,249900,주방가전,블렌더/믹서기
11382112750,닌자 블렌더 믹서기 프로페셔널 2.0 BR201KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EB%B8%94%EB%A0%8C%EB%8D%94%20%EB%AF%B9%EC%84%9C%EA%B8%B0%20%ED%94%84%EB%A1%9C%ED%8E%98%EC%85%94%EB%84%90%202.0%20BR201KR.jpg,https://brand.naver.com/sharkninja/products/11382112750?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260602_m_da_bba_ct_pd_p2_p,129000,주방가전,블렌더/믹서기
8157316055,닌자 블렌더 믹서기 뉴트리플러스 소형 BN300KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EB%B8%94%EB%A0%8C%EB%8D%94%20%EB%AF%B9%EC%84%9C%EA%B8%B0%20%EB%89%B4%ED%8A%B8%EB%A6%AC%ED%94%8C%EB%9F%AC%EC%8A%A4%20%EC%86%8C%ED%98%95%20BN300KR.jpg,https://brand.naver.com/sharkninja/products/8157316055?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260602_m_da_bba_ct_pd_ntp_p,129900,주방가전,블렌더/믹서기
10151538478,닌자 스마트 파워 업 초고속 블렌더 CB350KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%ED%8C%8C%EC%9B%8C%20%EC%97%85%20%EC%B4%88%EA%B3%A0%EC%86%8D%20%EB%B8%94%EB%A0%8C%EB%8D%94%20CB350KR.jpg,https://brand.naver.com/sharkninja/products/10151538478?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260602_m_da_bba_ct_pd_spu_p,199900,주방가전,블렌더/믹서기
11716864436,닌자 블렌더 믹서기 콜드앤핫 두유제조 HB150KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EB%B8%94%EB%A0%8C%EB%8D%94%20%EB%AF%B9%EC%84%9C%EA%B8%B0%20%EC%BD%9C%EB%93%9C%EC%95%A4%ED%95%AB%20%EB%91%90%EC%9C%A0%EC%A0%9C%EC%A1%B0%20HB150KR.jpg,https://brand.naver.com/sharkninja/products/11716864436?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260608_m_da_bba_ct_pd_cnh_p,349900,주방가전,블렌더/믹서기
11716805545,닌자 블렌더 저소음 고속 Quiet IQ QX201KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EB%B8%94%EB%A0%8C%EB%8D%94%20%EC%A0%80%EC%86%8C%EC%9D%8C%20%EA%B3%A0%EC%86%8D%20Quiet%20IQ%20QX201KR.jpg,https://brand.naver.com/sharkninja/products/11716805545?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260608_m_da_bba_ct_pd_qi_p,329900,주방가전,블렌더/믹서기
11465471533,닌자 블렌더 푸드프로세서 디텍트파워 프로 TB401KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EB%B8%94%EB%A0%8C%EB%8D%94%20%ED%91%B8%EB%93%9C%ED%94%84%EB%A1%9C%EC%84%B8%EC%84%9C%20%EB%94%94%ED%85%8D%ED%8A%B8%ED%8C%8C%EC%9B%8C%20%ED%94%84%EB%A1%9C%20TB401KR.jpg,https://brand.naver.com/sharkninja/products/11465471533?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260608_m_da_bba_ct_pd_tb4_p,349900,주방가전,블렌더/믹서기
10151512060,닌자 블렌더 트위스티 하이스피드 2in1 CB151KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EB%B8%94%EB%A0%8C%EB%8D%94%20%ED%8A%B8%EC%9C%84%EC%8A%A4%ED%8B%B0%20%ED%95%98%EC%9D%B4%EC%8A%A4%ED%94%BC%EB%93%9C%202in1%20CB151KR.jpg,https://brand.naver.com/sharkninja/products/10151512060?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260608_m_da_bba_ct_pd_twt_p,199900,주방가전,블렌더/믹서기
9539947474,닌자 에어프라이어 에어그릴 5in1 AG301KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EC%97%90%EC%96%B4%ED%94%84%EB%9D%BC%EC%9D%B4%EC%96%B4%20%EC%97%90%EC%96%B4%EA%B7%B8%EB%A6%B4%205in1%20AG301KR.png,https://brand.naver.com/sharkninja/products/9539947474?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260615_hg_da_bba_ct_pd_ag_p,249900,주방가전,에어프라이어
8157465448,닌자 블렌더 믹서기 프로페셔널 올인원 BN800KR,샤크닌자,https://raw.githubusercontent.com/performanceteam11-lab/carrotfeed/main/images/%EB%8B%8C%EC%9E%90%20%EB%B8%94%EB%A0%8C%EB%8D%94%20%EB%AF%B9%EC%84%9C%EA%B8%B0%20%ED%94%84%EB%A1%9C%ED%8E%98%EC%85%94%EB%84%90%20%EC%98%AC%EC%9D%B8%EC%9B%90%20BN800KR.png,https://brand.naver.com/sharkninja/products/8157465448?nt_source=dg&nt_medium=sn_ns_dg_dgc_low_cov&nt_detail=2605_nrp_mo_non_n_mf2554&nt_keyword=260615_m_da_bba_ct_pd_pao_p,269900,주방가전,블렌더/믹서기
